State,District,Grp_Buy,Strata75,Strata50,Inc_Republican,Hisp_To_2004,Hisp_To_2002,Hisp_To_2006,To_Change_2002,Statewide_Race_2006,Hisp_Perc_Reg,Nonhisp_To_2006,Nonhisp_To_2002,Nonhisp_To_2004,Nonhisp_Perc_Reg
Florida,25,0,0,1,1,65.80999756,30.03000069,28.94000053,-1.090000153,1,39,32,35,57,61
Georgia,1,0,0,0,1,43.13000107,19.06999969,23.63999939,4.569999695,1,1,38,32,52,99
Georgia,2,0,0,0,0,39.08000183,17.31999969,20.67000008,3.350000381,1,1,38,33,52,99
Georgia,3,0,1,0,1,49.5,21.97999954,29.97999954,8,1,1,43,34,56,99
Georgia,6,75,1,0,1,49.54000092,22.90999985,30.25,7.340000153,1,2,45,36,59,98
Georgia,7,75,1,0,1,42.84000015,17.75,25.96999931,8.219999313,1,3,43,32,56,97
Georgia,8,0,0,0,0,44.97999954,21.60000038,27.85000038,6.25,1,1,43,36,56,99
Georgia,9,0,1,0,1,34.70999908,12.97000027,21.39999962,8.429999352,1,2,42,33,55,98
Georgia,10,0,1,0,1,47.75,22.70000076,30.45999908,7.759998322,1,1,45,36,56,99
Georgia,11,75,1,0,1,41.02999878,17.87000084,25.65999985,7.789999008,1,2,40,33,54,98
Georgia,12,0,0,0,0,45.20999908,21.87999916,25.12000084,3.240001678,1,1,40,33,52,99
Georgia,13,0,1,0,0,38.68000031,15.92000008,22.5,6.579999924,1,2,39,29,52,98
Idaho,2,0,1,0,1,76.30999756,39.52000046,49.40000153,9.880001068,1,3,66,55,84,97
Illinois,1,0,0,1,0,60.59999847,35.27000046,36.70000076,1.430000305,1,4,45,41,67,96
Illinois,2,0,0,1,0,55.75999832,32.83000183,33.70000076,0.869998932,1,7,45,40,65,93
Illinois,3,0,0,1,0,67.62999725,42.00999832,45.40000153,3.390003204,1,16,52,48,70,84
Illinois,4,0,0,1,0,57.11000061,35.77000046,36.90000153,1.130001068,1,54,40,28,55,46
Illinois,5,0,0,1,0,63.77000046,38.50999832,41.09999847,2.590000153,1,17,48,41,67,83
Illinois,7,0,0,1,0,62.29999924,33.11999893,37.79999924,4.680000305,1,4,45,36,66,96
Illinois,8,0,0,1,0,52.79999924,24.79999924,33.29999924,8.5,1,6,48,36,66,94
Illinois,9,0,0,1,0,67.33999634,35.93000031,41.20000076,5.270000458,1,7,49,42,69,93
Illinois,10,0,0,1,1,54.97000122,27.37000084,36.29999924,8.929998398,1,5,56,45,73,95
Illinois,11,0,0,1,1,55.18999863,28.32999992,33.29999924,4.969999313,1,5,46,32,66,95
Illinois,13,0,0,1,1,61.75999832,29.55999947,36.20000076,6.640001297,1,6,47,38,69,94
Illinois,14,0,0,1,1,45.5,24.01000023,29.60000038,5.590000153,1,9,47,37,65,91
Illinois,15,0,0,0,1,58.68000031,28.56999969,32.09999847,3.529998779,1,2,48,41,66,98
Illinois,16,0,0,0,1,49.52000046,23.20000076,28.70000076,5.5,1,4,45,37,64,96
Illinois,18,0,0,0,1,59.31999969,36.41999817,38.5,2.080001831,1,1,51,45,68,99
Illinois,19,0,0,0,1,65.02999878,43.34999847,45,1.650001526,1,1,52,45,67,99
Indiana,1,0,0,1,0,46.77999878,18.65999985,23.39999962,4.739999771,1,9,31,33,71,91
Indiana,3,0,0,0,1,30.62000084,14.69999981,23.89999962,9.199999809,1,3,41,31,54,97
Indiana,4,0,1,0,1,43.45999908,17.87000084,21.60000038,3.729999542,1,2,39,33,63,98
Indiana,5,0,1,0,1,47.63000107,21.15999985,27.10000038,5.940000534,1,2,39,33,64,98
Indiana,6,0,0,0,1,45.88999939,25.70000076,26.29999924,0.599998474,1,1,42,38,61,99
Indiana,7,0,1,0,0,29.18000031,13.80000019,12.60000038,-1.199999809,1,2,31,28,48,98
Kansas,1,0,0,0,1,50.20000076,26.97999954,31.10000038,4.120000839,1,4,56,51,69,96
Kansas,2,0,0,0,1,67.04000092,39.47000122,49.40000153,9.930000305,1,2,59,46,69,98
Kansas,3,0,0,0,0,58.38999939,28.34000015,42.70000076,14.36000061,1,3,58,44,71,97
Kansas,4,0,0,0,1,69,57.52999878,40.79999924,-16.72999954,1,3,56,61,74,97
Kentucky,1,0,0,0,1,50.04000092,26.80999947,14.77999973,-12.02999973,0,0.01,51,45,62,99.98999786
Kentucky,2,0,1,0,1,56.49000168,29.07999992,24.10000038,-4.979999542,0,1,49,42,63,99
Kentucky,3,0,1,0,1,63.43999863,35.61000061,32.65000153,-2.959999084,0,1,53,47,70,99
Kentucky,5,0,0,0,1,54.59000015,36.15000153,13.57999992,-22.5700016,0,0.002,49,43,55,99.9980011
Louisiana,1,0,1,0,1,67.84999847,36.93999863,36.5,-0.439998627,0,5,35,39,68,95
Louisiana,2,0,1,0,0,58.88999939,31.60000038,27.29999924,-4.300001144,0,4,26,34,62,96
Louisiana,3,0,1,0,0,66.77999878,38.84999847,35.59999847,-3.25,0,5,35,38,67,95
Maryland,1,0,1,0,1,66.59999847,41.81000137,49.41999817,7.609996796,1,1,60,50,72,99
