caseid,Support,contrump,libtrump,self,republican
327955226,1,1,0,0,0
327955233,NA,0,1,0,1
327955244,NA,1,0,0,0
327955251,1,0,1,0,0
327956437,0,1,0,0,1
327957406,1,1,0,0,0
327957435,0,0,0,0,1
327957438,1,0,1,0,0
327957476,1,0,1,0,0
327957498,0,1,0,0,1
327957508,0,0,0,0,1
327957511,1,0,1,0,1
327957520,1,0,1,0,0
327957522,1,0,0,0,0
327957527,1,1,0,0,0
327957549,1,1,0,0,0
327957552,0,0,0,0,1
327957559,1,0,0,0,1
327957573,1,0,0,0,0
327957632,1,1,0,0,0
327957660,0,0,0,0,1
327957677,1,0,0,0,0
327957684,NA,1,0,0,0
327957697,0,0,0,0,1
327957709,1,0,1,0,1
327957725,NA,1,0,0,0
327958450,1,0,1,0,0
327958547,1,0,0,0,0
327958784,NA,0,0,0,1
327958906,1,0,1,0,0
327959203,1,0,0,0,0
327959603,1,1,0,0,0
327959756,0,0,1,0,0
327959789,0,0,0,0,1
327959831,1,0,0,0,0
327959841,1,0,1,0,0
327959858,1,0,0,0,0
327959867,NA,0,1,0,1
327959873,1,0,0,0,0
327959887,1,0,1,0,1
327959914,1,1,0,0,0
327959931,1,1,0,0,0
327959934,NA,0,0,0,0
327960013,1,0,1,0,0
327960092,NA,0,0,0,0
327960123,0,0,1,0,1
327960128,1,1,0,0,0
327960159,0,0,1,0,0
327960565,1,0,0,0,0
327961315,NA,0,0,0,1
327961367,1,1,0,0,0
327962352,1,0,1,0,0
327962366,0,1,0,0,0
327962432,0,0,0,0,1
327962436,1,0,1,0,0
327962439,0,1,0,0,1
327962467,0,0,1,0,0
327962486,1,0,0,0,0
327962510,1,1,0,0,0
327962518,1,0,0,0,0
327962521,1,0,1,0,0
327962525,1,0,1,0,1
327962561,1,1,0,0,0
327962584,1,0,0,0,0
327962644,1,0,0,0,0
327964780,1,0,1,0,1
327964786,0,0,0,0,1
327964833,NA,0,0,0,0
327964834,1,0,1,0,1
327964871,1,0,0,0,0
327964954,NA,0,1,0,0
327964985,1,0,0,0,0
327964988,1,1,0,0,1
327964997,0,1,0,0,0
327965025,NA,0,1,0,1
327965035,1,0,0,0,0
327965075,1,0,0,0,0
327965573,1,0,1,0,0
327965897,1,0,1,0,0
327966203,0,0,0,0,1
327966811,0,1,0,0,0
327966935,1,0,0,0,0
327967130,1,0,0,0,0
327967214,0,0,0,0,0
327967228,1,0,0,0,1
327967255,0,1,0,0,1
327967268,1,0,1,0,0
327967271,1,0,0,0,0
327967362,0,1,0,0,1
327967363,0,0,0,0,1
327967395,NA,0,0,0,0
327967404,1,0,1,0,0
